question,subject
Describe the organization of a Multiprocessor system.,Advanced Computer Architecture
Write short notes on (Any Two)   a) RISC Instructions   ii) TLB   iii) Space time diagram,Advanced Computer Architecture
Draw the functional block diagram of a communication system and explain each block briefly.,Analog Communication
Explain the importance of channel bandwidth with the help of Hartley-Shannon law.,Analog Communication
What is modulation? Discuss about the necessity of modulation in communication.,Analog Communication
Define Hilbert transform. Determine the Hilbert transform of x(t) = A cos (2πft + θ).,Analog Communication
Calculate the percentage of power saved when the carrier is suppressed in an AM wave modulated to a depth of   i) 80%  and   ii) 60% ,Analog Communication
Define band pass systems and band-limited signals.,Analog Communication
Explain the various methods used in the generation of a SSB – SC wave.,Analog Communication
Explain the principle of an envelope detector with a circuit diagram.,Analog Communication
"Describe in detail, how PLL can be used in carrier synchronization in AM systems.",Analog Communication
Explain the coherent detection method of demodulation of SSB – SC wave. Can we use this method to demodulate DSB – SC AM signals? Explain.,Analog Communication
Derive the Fourier series representation of single – tone FM wave.,Analog Communication
What is broadcasting? What are its types? Explain each of them briefly.,Analog Communication
"How CCITT standard Groups, Supergroups and Mastergroups are formed using SSB – SC in telephone? Explain.",Analog Communication
Write short notes on (Any Two)   i) Balanced modulators   ii) Distortion less transmission line   iii) Multiplexing   iv) Generation of FM using Armstrong’s method.,Analog Communication
"Explain the difference between the Big Oh notation, Omega notation and Theta notation, and how they are used in measuring the performance of algorithms.",Analysis Design of Algorithms
Write pseudo-code for the algorithms for calculating the nth number in the Fibonacci sequence both as a recursive algorithm and an iterative algorithm.,Analysis Design of Algorithms
What is meant by a randomised algorithm? Briefly explain the difference between Las Vegas and Monte Carlo algorithms.,Analysis Design of Algorithms
What is meant by a LIFO or FIFO data structure? Give an example of each.,Analysis Design of Algorithms
"Explain what is meant by a tree data structure. In this context, include the meaning of the following terms – leaf, root, degree, forest, ancestors, depth.",Analysis Design of Algorithms
"Draw a sequence of diagrams showing how a heap is constructed from the following data set {25, 99, 19, 100, 42, 63, 71}",Analysis Design of Algorithms
"What is meant by the “divide and conquer” strategy, and explain how it is used to tackle large problems?",Analysis Design of Algorithms
Explain how the merge sort algorithm works – you may find it helpful to include pseudo code and/or a numerical example.,Analysis Design of Algorithms
How is the basic quick sort algorithm different from merge sort? How does it perform in the average case? What is the worst case?,Analysis Design of Algorithms
"Explain the concept of optimal binary search trees, and give an example of a situation where they can be used.",Analysis Design of Algorithms
What are the differences between breadth-first search and depth-first search? Use example diagrams and/or pseudo code to show how the search process occurs in both cases.,Analysis Design of Algorithms
"Explain the concept of spanning trees, and how they apply to search techniques.",Analysis Design of Algorithms
"Explain the backtracking approach to solving problems where there are some constraints for choosing the solution, giving an example if appropriate. What is it’s advantage compared to the “brute force” method?",Analysis Design of Algorithms
"What is a Hamiltonian Cycle? Draw an example of a graph which has a Hamiltonian Cycle (and show it clearly), and an example of a graph which doesn’t have one.",Analysis Design of Algorithms
Write short notes on (Any Two)   i) The 8-Queens problem   ii) The travelling salesman problem   iii) Matrix multiplication algorithms   iv) The Greedy Method,Analysis Design of Algorithms
Explain different type of data encoding and error checking technique used in data transmission.,Computer Network
What are the service primitives? Sketch and explain the seven-layer OSI model?,Computer Network
What is meant by network topology? List the various topologies with advantages and disadvantages for constructing the network.,Computer Network
Explain the use of Medium Access Control and Logical Link Control over LAN architecture.,Computer Network
What do you mean by flow control? Explain the mechanism for flow control.,Computer Network
Describe the various Internet Address Classes with examples.,Computer Network
What is Routing Metrics? Explain different protocols used by Interior Gateway Protocols and Exterior Gateway Protocols of IP-Routing Protocols.,Computer Network
Write down the difference between HDLC and SDLC while considering different field in their frame format.,Computer Network
How is public key encryption method different from symmetric key? Explain Data Encryption Standard  RSA algorithm for encryption / decryption.,Computer Network
Explain with the help of the frame format the User defined Data gram And Transmission control protocol.,Computer Network
List out the different method used to provide the network security. Which one is the best suited? Why?,Computer Network
Explain the different types of Function regarding to connection-oriented and connectionless Services?,Computer Network
Write short notes on  (Any Two)   i) Selective Flooding   ii) SNMP   iii) Client/ Server Architecture,Computer Network
Describe the assembly process for assembly-language programs. How does it differ from the compilation process?,Computer Organization Architecture
Point out the difference between computer organization and computer architecture. Draw internal two dimensional organization of 4×4 ROM chip,Computer Organization Architecture
Describe different types of Shift micro-operations. Illustrate with examples.,Computer Organization Architecture
What is the importance of paging in memory management? How is logical address converted to physical address? Explain with necessary figures.,Computer Organization Architecture
Describe the hardware to add two BCD digits that produces the correct BCD result and carry.,Computer Organization Architecture
What are the limitations of direct and associative mapping? How these limitations could be minimized? Explain with necessary diagram.,Computer Organization Architecture
What do you mean by source initiated data transfer with handshaking? Illustrate with example.,Computer Organization Architecture
Describe parallel priority method for prioritizing multiple interrupts.,Computer Organization Architecture
Differentiate RISC vs. CISC computer. How RISC enhances the performance using Register windowing? Explain.,Computer Organization Architecture
How Instruction pipelining increases the performance of a CPU? What are the problems that arise in instruction pipelining? How are these problems solved? Explain.,Computer Organization Architecture
Write short notes on(Any Two)   i) Flynn's classification of a computer   ii) Memory organization in multi processor   iii) VHDL,Computer Organization Architecture
Explain the expanded structure of IAS computer.,Computer Organization
Divide (-4) with (-3) using two's complement division algorithm.,Computer Organization
Explain the followings with the aid diagram. i) Interrupt cycle   ii) Indirect cycle,Computer Organization
Differentiate between Register direct and Register indirect addressing modes.,Computer Organization
What is Micro Instruction? Differentiate between horizontal and vertical micro Instruction.,Computer Organization
Explain the Micro instruction sequencing based on the format of address Information in the micro instructions.,Computer Organization
Discuss about the necessity of I/O module in computer system. Explain about the Interrupt driven I/O.,Computer Organization
Explain the Set Associative mapping function technique in Cache memory.,Computer Organization
"Explain the LRU, FIFO and LFU replacement algorithm in cache memory.",Computer Organization
Discuss the CISC versus RISC characteristics.,Computer Organization
What is parallel processing? Explain the followings: i) SISD  ii) SIMD iii) MISD iv) MIMD,Computer Organization
What is Pipelining? Discuss the Instruction pipeline in detail.,Computer Organization
Assume that pipeline has K = 8 segment and executes n = 120 tasks in sequence. Let the time taken to process a sub operation in each segment is 40 ns. Calculate the speed up ratio in pipe line.,Computer Organization
Write short notes (Any Two)   i) Virtual Memory   ii) Pipelining Hazards   iii) Cache coherence,Computer Organization
Define project. What are its characteristics? Please explain.,Construction Project Management and Economics
What do you mean by specification? Briefly explain the purpose of specification.,Construction Project Management and Economics
Why contractor's pre-qualification is required?,Construction Project Management and Economics
Explain equipment for excavation with line diagram.,Construction Project Management and Economics
"Determine the both types of B/C ratio using FW formulation where First investment  = 2,50,00,  project life  = 10 years,  salvage value  = 50,00,  Annual benefit  = 1,00,00,  Annual O/M costs = 40,00 and  Interest rate  = 15%. ",Construction Project Management and Economics
Write shorts notes on (any one):   i) Importance of communication and Motivation   ii) Time value of money,Construction Project Management and Economics
What is sparse matrix? How it can be represented in a linked list? Write procedure to add two sparse matrices represented in linked lists.,Data File Structure
Convert the following infix expression into postfix expression showing stack step by step in tabular form. Infix: (A-B/C) *(D * E – F),Data File Structure
What is linked list? Discuss its types. What are the advantages and disadvantages of linked list over array?,Data File Structure
Write C/C++ functions to insert and to delete an item in queue in circular representation.,Data File Structure
Explain briefly the concept of AVL trees? Explain how you can restore the balance property of AVL tree when inserting/deleting a node violates its property. Illustrate with examples.,Data File Structure
What do you mean by priority queue? Which is the most suitable way to implement it? Discuss with an example.,Data File Structure
"Give outline of Divide and Conquer sorting. Trace sort algorithm with following data: 13, 81, 92, 43, 65, 31, 57, 26, 26, 75, 0",Data File Structure
Construct an expression tree from the  following post – fix expression: ABCD - + $ *  EF*-  and get prefix equivalent,Data File Structure
"Construst BST: 25,15,30,20,30,27,17,4,23,26,22 and show deletion of 27, 17 & 25",Data File Structure
What is File Structure? Discuss the common operations in Files.,Data File Structure
"How is data organized in Magnetic Tape? Suppose we want to store backup copy of a large mailing list file with one million 100 byte records. If we want to store the file on a 6250 bpi tape that has an inter-block gap of 0.3 inches, how much tape is needed? If B.F is 50, what is the effect?",Data File Structure
Explain the UNIX directory structure.,Data File Structure
Explain physical and logical files. What are the fundamental file processing operations? Explain in brief.,Data File Structure
Write short notes on (Any Two)   i) Addressing in CD – ROM's   ii) TOH problem   iii) 2-3 trees   iv) Double ended Queue and implementation,Data File Structure
How data is sent from source to destination? Explain with the help of digital communication system block diagram.,Data Communication
Explain most significant impairments in communication system.,Data Communication
The spectrum of Channel is between 3MHz and 4MHz and the SNR is 24dB. Calculate the Maximum Channel Capacity.,Data Communication
Differentiate between periodic and aperiodic signals with examples. Write the equation which shows the relation of energy with power of signal.,Data Communication
What is biphase encoding? How does biphase overcomes the limitations of NRZ codes? Explain with examples,Data Communication
Explain the different characteristics of transmission line in Data Communication.,Data Communication
What will be the Fourier series representation of unit impulse function?,Data Communication
Explain with example how Fourier Transform helps on the analysis of signal.,Data Communication
Why network software is designed in the form of layer? Explain based on OSI Layer.,Data Communication
Explain the operation of the sliding windows flow control method & its effect for error control purpose.,Data Communication
Define multiplexing. Explain different types of multiplexing techniques.,Data Communication
What is circuit switching? Explain Space Division and Time Division Switching.,Data Communication
Write short notes on (Any Two)   i) Pulse Code Modulation   ii) Differential Phase Shift keying   iii) Standards of Modems,Data Communication
What is ADT? Define Queue as ADT,Data Structure and Algorithm
"Write a algorithm to evaluate an arithmetic expression in Postfix string. Apply the algorithm to evaluate : AB + C – BA + C$ –    (assume A = 1, B = 2, C = 3)",Data Structure and Algorithm
What are the drawbacks of linear queue? How can we remove these drawback?,Data Structure and Algorithm
Write an algorithm for enqueue operation in the circular queue,Data Structure and Algorithm
Explain the advantages and disadvantages of linked list representation over array representation.,Data Structure and Algorithm
Recursive function must have two parts: its basic and its recursive part. Explain what each of these is and why it is essential to recursion. What are the advantages and disadvantages of implementing a recursive solution instead of an iterative solution?,Data Structure and Algorithm
Write algorithms to insert a node in BST and to get traversals.,Data Structure and Algorithm
Write an algorithm for inserting a new node in an AVL tree. Illustrate with an example.,Data Structure and Algorithm
"Trace quick-sort algorithm for given data: 98, 58, 57, 12, 18, 73, 150, 210, 56",Data Structure and Algorithm
"Create a heap inserting the following keys: 50, 95, 70, 30, 90, 25, 55, 35, 80, 60, 40, 20, 10, 75, 45, 65",Data Structure and Algorithm
Write an algorithm for the binary search in an array. Illustrate with an example.,Data Structure and Algorithm
"Given input {1, 16, 49, 36, 25, 64, 0, 81, 4, 9} and a hash function h(x) = x mod 10 show the resulting Hash table using quadratic probing and Hash table using chaining",Data Structure and Algorithm
Short notes on (Any Two)   i) Greedy algorithms and MST   ii) BST and B-tree   iii) Big ‘O’ notation and Analysis of algorithms   iv) Heap and Priority Queue,Data Structure and Algorithm
What is DBMS? Differentiate between file-processing systems with DBMS.,Database Management System
Define data independence and data abstraction.,Database Management System
Explain the logical and physical data independence.,Database Management System
Explain E-R model and EER model,Database Management System
"Construct an ER diagram for a POKHARA UNIVERSITY with a set of colleges, Student and, Subject. Associated with each student a log of various subject examination marks obtained in different date.",Database Management System
Find the Relational algebra expression for the followings:   i) Find names and amount of customers having loans more than Rs.1200.   ii) Find all customers who have either an account or loan or both.   iii) Find all customers who have both loan and ac account at the bank.   iv) Find customer name at Kathmandu branch office having balance of Rs.100000.,Database Management System
Find the SQL statements for the followings:   i) Find total number of customer at city ktm having balance more than 500000.   ii) Find the name of customer having highest loan at Pokhara branch office.   iii) Write QBE to delete all loans with a loan amount between Rs.1300 and Rs.1500.,Database Management System
"Make a list of security concern for a university examination system. For each item on your list, state whether this concern relates to physical security, human security, operating security, or database security.",Database Management System
Explain BCNF with suitable example,Database Management System
How files are maintained in fixed length record?,Database Management System
What is query optimisation? Describe the steps involved in query optimisation.,Database Management System
What benefit does strict two-phase locking provide? What disadvantages result?,Database Management System
Explain the features of distributed database system.,Database Management System
Write short notes on (Any Two)   i) QBE   ii) Log based Recovery   iii) Nested loop join   iv) Referential integrity,Database Management System
What is the role of DBMS Administrator in DBMS System.,Database System
Draw ER diagram for library system where record for each book are kept and the members are allowed to borrow books. Mention any assumptions made.,Database System
How does relational calculus differ with relational algebra? Consider one relation and define the role of tuple calculus.,Database System
What are the basic relational algebraic operators? Define the importance of grouping and ungrouping with tabular representation.,Database System
What is catalog? Are the system catalog and catalog are same? Define the internal process how data dictionary is managed.,Database System
What is view? How does SQL support view operations? Define with SQL Statements.,Database System
What do you mean normalization and why it is important? ,Database System
What is Functional dependencies. Explain the closure set of Functional Dependencies.,Database System
Why is normalization essential in RDBMS? What is lossless decomposition? Define the role of denormalization.,Database System
What is BCNF? How does it solve the problem of functional dependency of candidate key?,Database System
What do you mean by two-phase commit? Define the SQL statement and facilities.,Database System
What is failure. Explain all the types of failure you know.,Database System
Write short notes on (Any Two)   i) Data Encryption   ii) Snapshots   iii) Discretionary access control   iv) Multi-value Dependency,Database System
Distinguish between characteristics strength and characteristic load.,Design of R.C.C. structure
Design a reinforced section for a rectangular beam at mid span having an effective span of 6m. The super imposed load is 25KN/m and the size of beam is limited to 25 cm × 40 cm overall. Assume suitable data,Design of R.C.C. structure
Design a roof slab for a room 6m × 4m clear in size if the superimposed load is 5KN/m2 and the corners are held down. Sketch the detailing.,Design of R.C.C. structure
Design a short column 40 cm square in cross-section for an axial load of 500 KN and moments of 50 KNm and 30 KNm about the two axes.,Design of R.C.C. structure
What are the assumptions made for the limit state of collapse in compression?,Design of R.C.C. structure
Define various types of shallow foundation with neat sketch.,Design of R.C.C. structure
Design a square spread footing to carry a column load of 1500 KN from a 40 cm square tied column containing 20 mm bras as the longitudinal steel. The bearing capacity of soil is 90 KN/m2. Consider the base of footing is 1.2 m below the ground level. Take unit wt. of soil 19 KN/m3,Design of R.C.C. structure
What are the types of overhead tank? Explain various structural elements of intz tank.,Design of R.C.C. structure
"Calculate the load in a flight and landing for the staircase shown in figure. Take superimposed load as 5KN/m2, width of flight 1.2m. Assume necessary data.",Design of R.C.C. structure
Write short notes on (Any Two)   i) Limitation of plane concrete   ii) Working stress Vs Limited state   iii) Stresses in domes,Design of R.C.C. structure
"Design a tensile member of a roof truss carrying axial pull of 150kN, consisting of two unequal angles placed back to back and connected with both sides of gusset plate. Also design end connection. Assume necessary parameters.",Design of Steel and Timber Structure
Design a column section to support a load of 1175 kN. The section shall consist of four equal angles at four corner of column forming a box like figure in plan of overall dimension 425mmX425mm. The column has an effective length of 4.50m.,Design of Steel and Timber Structure
Design a slab base for a column section ISHB 300 with one cover plate 400mm X 16mm on either flange of column and carrying an axial load of 2500 kN inclusive of self weight of base and column. The allowable bearing pressure of concrete is 4N/mm2,Design of Steel and Timber Structure
Design a mild steel beam of 5m effective span with 200mm bearing at each end and the compression flange is laterally unsupported. The beam is carrying a uniformly distributed load of 30 kN/m and concentrated load of 5 kN at center.,Design of Steel and Timber Structure
"A symmetrical plate girder consists of web plate PL8 X 1800, 2 flange plates PL10 X 400 and two flange angle ISA 150X150X10 on each side, subjected to a UDL of 150kN/m and 500kN at the mid span over the span of 30m. Check the safety of section in flexure.",Design of Steel and Timber Structure
Design a Khair wood beam to support a floor dead load of 2.5 kN/m2 and live load 2.75 kN/m2. The beam of 5m clear span are spaced @ 2 m c/c.,Design of Steel and Timber Structure
Write short notes on   i) Codal provision for design of lacing system.   ii) Stress strain curve for mild steel,Design of Steel and Timber Structure
Draw a block diagram of digital communication system and explain the function of each block. Also list the merits of digital over analog communication system.,Digital Communication
Explain the demerits of delta modulation with necessary sketches.,Digital Communication
Show that the quantized sample represented at the prediction filter input differs from sample of the original signal by quantization error in differential pulse code modulation (DPCM).,Digital Communication
A television signal having a bandwidth of 4.2 MHz is transmitted using binary PCM system. Given that the number of quantization levels is 512. Determine   i) Codeword length   ii) Transmission bandwidth   iii) Transmission rate   iv) Signal-to-quantization noise ratio,Digital Communication
Show that the normalized channel capacity as a function of signal-to-noise ratio per bit places an absolute limit on the minimum value that is equal to -1.6dB.,Digital Communication
Define different types of noise and explain in detail about thermal noise.,Digital Communication
"Derive the relationship between auto correlation, power spectral density and energy spectral density.",Digital Communication
Show that the signal-to-noise ration (SNR) in conventional amplitude modulation is always less that SNR in baseband system.,Digital Communication
Write short notes on   i) Maximum-likelihood decoding criteria for optimum receiver.   ii) TDM,Digital Communication
Define number of state and density of state in quantum mechanics.,Electrical Engineering Materials
Calculate the packing densities of SCC and FCC.,Electrical Engineering Materials
Define the term electron drift velocity and mobility. How are they related? Show the conductivity of electrons within metallic conductor is product of charge density and mobility.,Electrical Engineering Materials
Explain break down mechanism in gases,Electrical Engineering Materials
"How can you clarify polarisation, explain its various methods.",Electrical Engineering Materials
Explain Ferromagnetism on the basis of Hysteresis loops.,Electrical Engineering Materials
"Explain how the conductors, insulators and semiconductors are classified in terms of band structure.",Electrical Engineering Materials
Explain the grown junction and alloy junction technique of junction fabrication.,Electrical Engineering Materials
Prove that the number of conduction electrons in an intrinsic semiconductor decreases exponentially with increasing gap energy.,Electrical Engineering Materials
What are the basic differences between the intrinsic & extrinsic semiconductors?,Electrical Engineering Materials
Write short notes on (Any Two)   i) Dielectric breakdown in solids   ii) Fermi Level   iii) Square 100p magnetic materials   iv) Photolithography,Electrical Engineering Materials
"Define voltage Regulation, and explain its significance and derive the expression for a voltage Regulation for lagging power factor.",electrical Machine
Explain the load operation of a transformer and also draw the phasor diagram under load condition.,electrical Machine
Differentiate between electrical motor and generator and derive the torque equation of dc motor.,electrical Machine
"A 250 V. dc shunt motor has an armature current of 20 A when running at 1,000 rpm against full load torque. The armature resistance is 0.5 Ω. What resistance must be inserted in series with the armature to reduce the speed by 50% at the same torque, and what will be speed if the torque is halved with this resistance circuit? Assume the flux to remain constant throughout.",electrical Machine
Explain the different method of speed control of dc shunt motor. Explain why the dc series motor can not be started without any load.,electrical Machine
"A dc series motor runs at 500 rpm on 230V mains drawing a current of 55 A the resistance of the machine is 0.15 . (Including armature and series winding resistance) Calculate the value of resistance which when connected in series with machine will reduce the speed to 350 rpm, the load torque being half the previous value. Take the flux proportional to the current.",electrical Machine
Classify the synchronous generator on the basis of construction.,electrical Machine
Define 'slip' and draw the Torque- slip (speed) charateties of three phase induction motor with help of Torque equations.,electrical Machine
Explain why the single phase induction motor is not self starting and draw Torque-slip charateties of single phase induction motor.,electrical Machine
Write short notes on: (Any Two)   i) Hunting in synchronous motor machine   ii) dc motor stater   iii) Auto Transformer   iv) Armature reaction   v) Vee curves of synchronous motor,electrical Machine
Why cascading is necessary? While cascading which configuration of BJT amplifier is used in intermediate stages and why? Explain. What is the effect of cascading on total bandwidth?,Electronic Circuits I
What is distortion? Explain different types of distortions with their effect on audio signal.,Electronic Circuits I
What is frequency response? Describe the high frequency response of RC coupled BJT transistor amplifier.,Electronic Circuits I
How does crossover distortion occur in class B push-pull amplifier? How do you eliminate it?,Electronic Circuits I
"In a push pull amplifier of class B operation Vcc = 20V, RL = 10 . The total number of turns on the primary windings is 100 and the secondary winding has 50 turns. Assuming that the transformer has zero resistance, find maximum power that can be delivered to the load and power dissipated in each transistor when maximum power is delivered to the load.",Electronic Circuits I
Write the main advantages and disadvantages of negative feedback.,Electronic Circuits I
Describe how input and output impedance vary in a voltage shunt feedback system.,Electronic Circuits I
"When negative voltage feedback applied to an amplifier of gain 100, the overall voltage gain falls to 60. i) Calculate the fraction of the output voltage feedback.   ii) If this fraction is maintained, calculate the value of the amplifier gain required if the overall stage gain is to be 75.",Electronic Circuits I
Explain the circuit action of Wein Bridge oscillator with neat sketch and give its advantages and disadvanges.,Electronic Circuits I
What is an oscillator? What is its need? Give its advantages.,Electronic Circuits I
"The ac equivalent circuit of a crystal has three values: L = 1.5 H, C = 0.02 pF, R = 1 K and Cm = 20 pF. Calculate the series resonant and parallel resonant frequencies of the crystal.",Electronic Circuits I
Describe the operation of centre-tap full wave rectifier with neat diagram and wave forms.,Electronic Circuits I
Write short notes on (Any Two)   i) Emitter Follower (Low frequency Transistor Amplifier circuits)   ii) Barkhausen Criterion   iii) Zener Voltage Regulator,Electronic Circuits I
"With the help of suitable circuit diagram, explain counting type ADC.",Electronic Circuits II
Draw R- 2R ladder circuit for D/A conversion. Also find the output for the input 1010. (Assume reference voltage 5 volts).,Electronic Circuits II
Derive an expression for difference mode gain and common mode gain of differential amplifier.,Electronic Circuits II
"How op-Amp can be used as Differentiator, Buffer, Integrator and Inverting amplifier.",Electronic Circuits II
Design an instrumentation amplifier and find its output voltage. Also find its differential voltage gain. Assume ideal Op-Amp.,Electronic Circuits II
Find out the output voltage of temperature compensated logarithmic amplifier with respective circuit diagram.,Electronic Circuits II
Write the main applications of the Log-anti log amplifier. Discuss Logarithmic divider operation with the help of circuit diagram.,Electronic Circuits II
Why modulation is necessary? Briefly explain Amplitude Modulation with the help of circuit diagram.,Electronic Circuits II
Draw set-up (Boost) Regulator circuit and explain how the output voltage is stepped down?,Electronic Circuits II
With the help of circuit diagram explain the operation of step up chopper. Also find its output voltage.,Electronic Circuits II
Draw dc to ac and then ac to dc converter circuit.,Electronic Circuits II
Write short notes on ( Any Two)   i) TRIACS  (Power Conservation Circuit)   ii) Slew rate   iii) Modulation index,Electronic Circuits II
"""Darlington Pair can be regarded as a 'Super β' transistor''. Comment on it.",Electronic Circuits
How can you classify the amplifiers? Explain them in brief.,Electronic Circuits
Show that the maximum possible efficiency of class A transformer coupled amplifier is only 50%.,Electronic Circuits
Derive the equation of gains for positive and negative feedback. Explain the effect of negative feedback configuration in amplifier characteristics.,Electronic Circuits
State Barkhausen criterion for oscillation. Explain Wein Bridge oscillator with diagram and derivation of resonance frequency.,Electronic Circuits
Explain the basic concept of Voltage Controlled Oscillators (VCO) with diagram.,Electronic Circuits
What are the main characteristics and features of an Op-Amp?,Electronic Circuits
Derive the Common mode gain of differential Amplifier.,Electronic Circuits
Explain the BJT Astable  Multivibrator with circuit diagram.,Electronic Circuits
What do you mean by Logarithmic Amplifier? Find the expression for the output Voltage of Anti-logarithmic Amplifier.,Electronic Circuits
Explain R-2R ladder circuit used in DAC.,Electronic Circuits
"What is voltage stabilizer? The base to emitter of the transistor in the figure shown below is 0.7V. Vin varies from 12V to 24V.   i) What breakdown voltage should the Zener diode have if the load voltage is to be maintained at 9V?   ii) If the Zener diode must conduct 10 mA of reverse current to maintain in breakdown, what maximum value should R have?   iii) With the help of R found in (ii), what is the maximum power dissipated in the Zener diode?",Electronic Circuits
Write short notes on (Any Two)   i) SMPS (Switch Mode Power Supply)   ii) Emitter follower   iii) CMRR (Common Mode Rejection Ratio),Electronic Circuits
Find the expression for power radiated by a current element.,Elelctromagnetic Propagation antenna
What do you mean by the directive gain of an antenna? Show that the directivity of a half wave dipole is 2.15 dBi.,Elelctromagnetic Propagation antenna
Prove that maximum effective area of any antenna is 1.5,Elelctromagnetic Propagation antenna
What do you mean by parasitic array. Discuss about Yagi-Uda antenna.,Elelctromagnetic Propagation antenna
Find the pattern for an eight-element array obtained by principle of multiplication of patterns.,Elelctromagnetic Propagation antenna
"For transmit-receive system, derive the expression for free space loss (FSL) in decibel (dB) and signal-to-noise ratio (S/N) for a receiving system.",Elelctromagnetic Propagation antenna
"Define Fresnel reflection coefficient . Assuming earth as lossy dielectric medium, derive the expression for reflection coefficient when E-field is in plane of incidence.",Elelctromagnetic Propagation antenna
Derive the expression for refractive index of ionosphere and the maximum usable frequency (MUF).,Elelctromagnetic Propagation antenna
"Consider the case for synchronous satellite relay, where 6 GHz is used for ground to satellite link and 4 GHz is used for satellite to ground link. Consider 28 meter diameter ground antenna and 0.28 meter diameter satellite antenna assuming 67% effective area and height of the satellite is 36,000 km. Find the following:   i) Basic transmission loss   ii) Maximum directive gain   iii) With ground transmitter power of 12kw, the power received at the satellite receiver.   iv) With satellite transmitter power of 1w, the power received at ground antenna.",Elelctromagnetic Propagation antenna
Draw the block diagram of optical fiber communication. Explain each block in brief.,Elelctromagnetic Propagation antenna
Write short notes on (Any Two)   i) Horn antenna   ii) SID   iii) Half power beamwidth   iv) Antenna Temperature and signal to Noise ratio.,Elelctromagnetic Propagation antenna
What is the future equivalent of Rs.50000 per year that follows continuously for 8 years if the nominal interest rate is 12% and compounded continuously.,Engineering Economics
"We are considering the purchase of second-hand computer at a cost of Rs.10,500, with an estimated salvage value of Rs.500 and a projected useful life of four years. Interest is 10%. Determine:   i) Sum of Years Digits (SOYD) depreciation   ii) Double Declining Balance with conversion to Straight Line depreciation",Engineering Economics
"The net annual revenue from the end of first year onwards in 20000, 25000, 30000 and so on that is increasing by an amount of 5000 each year for ten years. Find out AW of this cash flow. Take i = 15% and use gradient formulae.",Engineering Economics
"Ram wants to have Rs.1,50,000 for saving plan after the period of 10 years. How much rupees he deposit each year in the saving accounts that earn 10% interest annually? Make its cash flow diagram also.",Engineering Economics
"If a farmer want to save money monthly in a financial company for the engineering education of his daughter of 2 years old, How much money he need to save per month if she need 4, 00000 when her age will be 18 years old. The company compounded the money monthly and interest rate is 12%.",Engineering Economics
"Evaluate IRR of the following project, Identify whether the projects is feasible or not? Also draw Investment Balance Diagram. Initial investment = 50000, Annual Revenues = 12000, Annual cost = 3000, Useful life year = 10, MARR = 10% ",Engineering Economics
